prompt,response,,,,,,,,,
"
What services do you offer?
","We are providing App Development, Web Development, Software Development, AI Development and VR and ",,,,,,,,,VR-AR Development
"
Where are you located?","We are currently located at Erode, TamilNadu",,,,,,,,,
Tell about your company profile,"Hi, Our Company Name is Giant Wolfs, we are currently located at Erode TamilNadu, we are providing services like AI Development, Mobile App Development, Web Development and AR-VR Development",,,,,,   ,,,
"What is your company name?
",Our Company name is Giant Wolfs,,,,,,,,,
Hi,"Hello,  How can I help you?",,,,,,,,,
How are you,I am fine,,,,,,,,,
"hi, who are you ?"," Hi , I am GW Chatbot, I am here to help you with your queries.",,,,,,,,,
how many people working in your organization?,"It's confidential, we can't help you with that",,,,,,,,,
how many projects you have done?,We have done some projects and waiting for some opportunities to innovate,,,,,,,,,
how can we contact your company?,You can contact us through E-mail (giantwolfs@gmail.com),,,,,,,,,
"what your company objective or vision? 
",Empowering Innovation with Intelligent Solutions,,,,,,,,,
Why we Choose Giant Wolfs?,"We rank among the best in the Tamil Nadu. Our apps get featured as best in class, and our clients love our work.
",,,,,,,,,
how much you charge for a project?,It depends on project requirements.,,,,,,,,,
"what is the the price structure you quote for a project?
",It depends on project requirements.,,,,,,,,,
thank you or thanks a lot or thank you for your service.,Your mostly welcome!!!,,,,,,,,,
